x_ethanol,Tbub,y_ethanol,Tdew
0.643068,353.61,0.643068,360.683
0.646213,353.584,0.646213,360.565
0.649339,353.557,0.649339,360.446
0.652445,353.531,0.652445,360.328
0.655531,353.505,0.655531,360.209
0.658599,353.479,0.658599,360.09
0.661647,353.454,0.661647,359.971
0.664677,353.428,0.664677,359.852
0.667688,353.403,0.667688,359.732
0.67068,353.378,0.67068,359.612
0.673654,353.353,0.673654,359.492
0.67661,353.328,0.67661,359.372
0.679548,353.303,0.679548,359.252
0.682468,353.279,0.682468,359.131
0.685371,353.254,0.685371,359.01
0.688256,353.23,0.688256,358.89
0.691123,353.206,0.691123,358.769
0.693974,353.182,0.693974,358.648
0.696807,353.158,0.696807,358.527
0.699624,353.135,0.699624,358.406
0.702423,353.111,0.702423,358.285
0.705207,353.088,0.705207,358.163
0.707973,353.065,0.707973,358.042
0.710724,353.042,0.710724,357.921
0.713458,353.019,0.713458,357.8
0.716177,352.996,0.716177,357.679
0.718879,352.973,0.718879,357.558
0.721566,352.951,0.721566,357.437
0.724237,352.928,0.724237,357.317
0.726893,352.906,0.726893,357.196
0.729533,352.884,0.729533,357.076
0.732158,352.862,0.732158,356.956
0.734768,352.84,0.734768,356.836
0.737363,352.818,0.737363,356.717
0.739944,352.797,0.739944,356.598
0.742509,352.775,0.742509,356.48
0.745061,352.754,0.745061,356.362
0.747597,352.733,0.747597,356.245
0.75012,352.712,0.75012,356.128
0.752628,352.691,0.752628,356.013
0.755122,352.67,0.755122,355.897
0.757602,352.649,0.757602,355.783
0.760069,352.629,0.760069,355.67
0.762521,352.609,0.762521,355.557
0.76496,352.588,0.76496,355.446
0.767386,352.568,0.767386,355.336
0.769798,352.548,0.769798,355.227
0.772197,352.529,0.772197,355.119
0.774583,352.509,0.774583,355.013
0.776956,352.489,0.776956,354.908
0.779315,352.47,0.779315,354.805
0.781662,352.451,0.781662,354.703
0.783997,352.432,0.783997,354.603
0.786318,352.413,0.786318,354.505
0.788627,352.394,0.788627,354.409
0.790924,352.376,0.790924,354.315
0.793208,352.357,0.793208,354.222
0.79548,352.339,0.79548,354.131
0.79774,352.321,0.79774,354.043
0.799988,352.303,0.799988,353.956
0.802224,352.285,0.802224,353.872
0.804448,352.267,0.804448,353.789
0.806661,352.25,0.806661,353.709
0.808861,352.232,0.808861,353.631
0.811051,352.215,0.811051,353.554
0.813228,352.198,0.813228,353.48
0.815395,352.181,0.815395,353.408
0.81755,352.165,0.81755,353.337
0.819693,352.148,0.819693,353.269
0.821826,352.132,0.821826,353.203
0.823948,352.116,0.823948,353.138
0.826059,352.1,0.826059,353.075
0.828158,352.084,0.828158,353.014
0.830248,352.068,0.830248,352.955
0.832326,352.053,0.832326,352.898
0.834394,352.038,0.834394,352.842
0.836451,352.023,0.836451,352.788
0.838498,352.008,0.838498,352.736
0.840534,351.993,0.840534,352.685
0.84256,351.979,0.84256,352.636
0.844576,351.964,0.844576,352.588
0.846582,351.95,0.846582,352.542
0.848578,351.936,0.848578,352.497
0.850563,351.923,0.850563,352.454
0.852539,351.909,0.852539,352.412
0.854505,351.896,0.854505,352.371
0.856461,351.883,0.856461,352.332
0.858408,351.87,0.858408,352.294
0.860345,351.857,0.860345,352.257
0.862272,351.845,0.862272,352.222
0.86419,351.832,0.86419,352.187
0.866099,351.82,0.866099,352.154
0.867998,351.808,0.867998,352.122
0.869888,351.797,0.869888,352.091
0.871768,351.785,0.871768,352.061
0.87364,351.774,0.87364,352.033
0.875502,351.763,0.875502,352.005
0.877356,351.752,0.877356,351.978
0.8792,351.742,0.8792,351.952
0.881036,351.731,0.881036,351.928
0.882862,351.721,0.882862,351.904
